order quantity,price per unit,Log (price per unit),Total_in_NTD,item_name,規格,Customer,By_way,Types,Deal
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
7.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020T/52-135055A,政昊科技,OTHERS,國內代理商,1.0
4.0,10000.0,9.210340371976184,40000.0,軸封基本維修,AXS0030W/AL1260,凌巨,DISPLAY,國內終端,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,34000.0,10.4341158035983,34000.0,軸封基本維修+導磁環,BCM1000C/22-286915-00A/22-397496-00A/22-397496-00B,聯毅,SEMI,國內設備商,1.0
1.0,34000.0,10.4341158035983,34000.0,軸封基本維修+導磁環,BCM1000C/22-286915-00A/22-397496-00A/22-397496-00B,聯毅,SEMI,國內設備商,1.0
4.0,9900.0,9.20029003612268,39600.0,軸封基本維修,AXS0030W/AL2290,AUOL6A,DISPLAY,國內終端,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2720,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,1178550.0,13.979795427272077,1178550.0,軸封基本維修+馬達組+編碼器組*2(AK ERM+ROQ425),XXH0100W/AL1340,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,10000.0,9.210340371976184,40000.0,軸封基本維修,AXS0030W/AL1260,凌巨,DISPLAY,國內終端,1.0
3.0,10000.0,9.210340371976184,40000.0,軸封基本維修,AXS0030C/AL1230,凌巨,DISPLAY,國內終端,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
7.0,10500.0,9.259130536145614,73500.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,10500.0,9.259130536145614,10500.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,34000.0,10.4341158035983,34000.0,軸封基本維修+外導磁環,AFS0012C/52-121128B,力積電,SEMI,國內終端,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,51300.0,10.845446031158861,51300.0,軸封基本維修,AXC0075C/32401B、E,力積電,SEMI,國內終端,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,129500.0,11.771436160121729,129500.0,新軸承結構軸封基本維修+外導磁環+外軸環,AXC0134C/W-X00539,業實,DISPLAY,國內設備商,1.0
1.0,34000.0,10.4341158035983,34000.0,軸封基本維修+導磁環,BCM1000C/22-286915-00A/22-397496-00A/22-397496-00B,聯毅,SEMI,國內設備商,1.0
1.0,19350.0,9.870447698457928,19350.0,軸封基本維修+導磁環,BCM1500C/50-103320J,TSMC 2&5,SEMI,國內終端,1.0
1.0,20500.0,9.9281801651265,20500.0,軸封基本維修,AXS0065C/W-X02875,INX-4,DISPLAY,國內終端,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,1573200.0,14.26862231953979,1573200.0,軸封基本維修+Encoder(AK ERM)+馬達組,XXH0100W/AL1350,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
6.0,10500.0,9.259130536145614,63000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,37790.0,10.539799796343535,37790.0,軸封基本維修+外軸心+導磁軸環,AXS0042C/64770Z,力積電,SEMI,國內終端,1.0
1.0,1500.0,7.313220387090301,1500.0,軸封修改,(SUS)102-001442修改,漢民,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2290,AGS-台灣,DISPLAY,國內設備商,1.0
4.0,10000.0,9.210340371976184,40000.0,軸封基本維修,AXS0030W/AL1260,凌巨,DISPLAY,國內終端,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,480654.39999999997,13.082903787722321,480654.39999999997,軸封基本維修+軸心+Bellow+水襯套,AXX0138C/106A-IV2004,AUO,DISPLAY,國外終端,1.0
1.0,10000.0,9.210340371976184,20000.0,軸封基本維修,AXS0030W/XXS0030WMR00001,凌巨,DISPLAY,國內終端,1.0
1.0,10000.0,9.210340371976184,20000.0,軸封基本維修,AXS0030W/AL1260,凌巨,DISPLAY,國內終端,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1240,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL1260,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,77000.0,11.251560700835821,77000.0,軸封基本維修+內軸封導磁環,BXS3156A/1180290,新唐,SEMI,國內終端,1.0
1.0,34000.0,10.4341158035983,34000.0,軸封基本維修+導磁環,BCM1000C/22-286915-00A/22-397496-00A/22-397496-00B,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,62000.0,11.03488966402723,62000.0,軸封基本維修,AXH0135C/28841F,力積電,SEMI,國內終端,1.0
1.0,10000.0,9.210340371976184,30000.0,軸封基本維修,AXS0030W/XXS0030WMR00001,凌巨,DISPLAY,國內終端,1.0
1.0,10000.0,9.210340371976184,30000.0,軸封基本維修,AXS0030W/XXS0030WMR00001,凌巨,DISPLAY,國內終端,1.0
1.0,10000.0,9.210340371976184,30000.0,軸封基本維修,AXS0030W/AL1260,凌巨,DISPLAY,國內終端,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,488000.0,13.098070684835283,488000.0,軸封基本維修+軸心+Bellow+水襯套,AXX0138C/106A-IV2004,AUOL3D,DISPLAY,國內終端,1.0
1.0,12500.0,9.433483923290392,12500.0,軸封基本維修,AXS0006C/63739Z,力積電,SEMI,國內終端,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,10500.0,9.259130536145614,84000.0,軸封基本維修+導磁環,AXS0020W/52-133790E,政昊科技,OTHERS,國內代理商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030C/AL1230,AGS-台灣,DISPLAY,國內設備商,1.0
1.0,140000.0,11.84939770159144,140000.0,軸封基本維修,BXX0020T/43418Z/42759D,力積電,SEMI,國內終端,1.0
1.0,120000.0,11.695247021764184,120000.0,軸封基本維修+新軸承結構,AXC0134C/W-X00539,INX-4,DISPLAY,國內終端,1.0
4.0,9100.0,9.116029692504942,36400.0,軸封基本維修,AXS0030W/AL2710,AUOL6A,DISPLAY,國內終端,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,32800.0,10.398183794372235,32800.0,軸封基本維修,AXC0050C/10C-22042400 FOR 聯毅,聯毅,SEMI,國內設備商,1.0
1.0,34000.0,10.4341158035983,34000.0,軸封基本維修+導磁環,BCM1000C/22-286915-00A/22-397496-00A/22-397496-00B,聯毅,SEMI,國內設備商,1.0
1.0,14000.0,9.546812608597396,14000.0,軸封基本維修(統包),AXS0030W/AL2710,AGS-台灣,DISPLAY,國內設備商,1.0
